"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"44",1953,5.8,6.9,10.3,10.1,16.1,16.3,18.8,19.8,17.3,12.7,10,8.1,"5.78",12.18,18.31,13.33,12.71
"45",1954,4.8,3.9,7.6,11,14.3,16,17.3,17.1,15.9,14.2,8.9,8,"5.64",10.99,16.8,12.99,11.62
"46",1955,4,3,6.1,13,12.5,16.3,21.2,21,17.9,12.5,9.3,7.3,"5.07",10.47,19.56,13.23,12.05
"47",1956,4.7,2.5,8.4,9.8,16.2,15.9,18.3,15.8,16.9,12.4,8.4,7.3,"4.84",11.44,16.67,12.53,11.39
"48",1957,7.5,7.1,11.2,11.6,13.7,19,18.9,17.8,14.7,13.3,8.3,6.5,"7.29",12.19,18.54,12.12,12.5
"49",1958,5,6.1,5.2,10.6,14.2,16.1,18.9,19.2,17.7,13.4,8.4,6.2,"5.86",10,18.06,13.14,11.76
"50",1959,3.5,6.8,9.5,12.6,15.8,18.8,21.2,21.3,18.8,15.7,9,7.4,"5.44",12.64,20.43,14.52,13.4
"51",1960,5.6,5.8,7.1,12.4,16,19.9,18.3,18.2,16.1,12.1,8.7,5.6,"6.28",11.85,18.78,12.29,12.17
"52",1961,4.9,8.6,12,12.1,13.8,18.3,17.7,18.6,18.4,13.3,8.2,4.1,"6.31",12.63,18.22,13.3,12.52
"53",1962,6.3,6.8,5.4,10.3,13.1,17.6,17,17.3,15.3,13.3,7.3,4.3,"5.72",9.6,17.31,11.97,11.2
"54",1963,1.1,1.2,8.1,10.7,13.6,17.4,18.3,16.7,16.3,13.3,9.3,4.9,"2.25",10.84,17.48,12.97,10.97
"55",1964,5.4,6.3,5,11.7,16.6,16.6,19.2,18.9,17.7,11.8,9.5,5.5,"5.49",11.11,18.27,13,12.04
"56",1965,5.1,5.4,7.9,11.4,14.4,17.8,16.2,17.9,15.2,13.6,6.1,5.4,"5.31",11.22,17.29,11.65,11.39
"57",1966,4,6.2,9.4,8.3,14.7,18.3,17.9,17.4,16.9,12.3,7.6,6.5,"5.17",10.83,17.85,12.25,11.65
"58",1967,5.8,7.4,9.6,10.6,12.6,17.7,20.1,18.9,16.3,12.8,7.8,6.1,"6.54",10.94,18.89,12.3,12.16
"59",1968,6.1,3.8,9.4,11.7,12.3,18.2,16.9,17.8,16.3,14.3,7.8,4.5,"5.34",11.13,17.63,12.83,11.61
"60",1969,6.7,2.2,4.5,10.3,13.4,17.6,20.5,19.1,16.7,15.5,6.9,4.8,"4.56",9.38,19.08,13.08,11.59
"61",1970,4.7,4.8,6.5,9.2,15.9,19.7,18.2,19.3,17.5,13.5,9,6.1,"4.78",10.54,19.06,13.31,12.07
"62",1971,6,7.2,7.6,10.1,15.1,14.7,20.4,18.4,17.8,14.3,8.3,8.3,"6.40",10.94,17.83,13.49,12.38
