"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"48",2008,5.2,11.6,7.4,6,0.8,0,0,0,0,3,6.2,14,"28.4",14.2,0,9.2,54.3
"49",2009,13.4,13.1,5.6,1.7,0.2,0,0,0,0,0.4,1.7,16.2,"40.6",7.5,0,2.1,52.3
"50",2010,17.7,17.5,10,3.6,2.7,0,0,0,0.1,1.3,9.7,22.7,"51.4",16.3,0,11.1,85.3
"51",2011,14.3,3.7,7.7,0.9,0.9,0,0,0,0,0.4,1.3,7.9,"40.7",9.6,0,1.8,37.4
"52",2012,9.5,13.2,3.6,5.1,1.9,0,0,0,0.2,1.6,6.1,11.3,"30.6",10.7,0.1,8,52.7
"53",2013,14.6,14.3,17.8,6.6,0.9,0,0,0,0.1,0,6.8,3.9,"40.2",25.2,0,6.9,64.9
"54",2014,6.1,3.7,6.5,1.7,0.7,0,0,0,0,0.3,2.7,11.8,"13.7",8.9,0,3.1,33.6
"55",2015,12.7,10.7,7.2,3.8,1.3,0.2,0,0,0.1,0.5,2.4,1.9,"35.2",12.2,0.2,3,40.7
"56",2016,10.4,12.5,6.6,5.6,0.6,0,0,0,0,0.2,8,6.1,"24.8",12.8,0,8.3,50.2
"57",2017,14.6,4.8,3.1,3.3,0.4,0,0,0,0.1,0.4,6.2,13.8,"25.5",6.7,0,6.7,46.6
"58",2018,7.1,16.9,12.6,1.6,1.1,0,0,0,37.8,15.2,0,NA,"",NA,NA,NA,NA
